day,taskname
"Mon, Dec 16",Learn the fundamentals of logical reasoning (LSAT)
"Mon, Dec 16",Practice questions for logical reasoning (LSAT)
"Mon, Dec 16","Learn the fundamentals of ""reading comprehension"" for the LSAT"
"Tue, Dec 17",Practice questions for the reading comprehension section (LSAT)
"Tue, Dec 17",Learn the fundamentals of logical reasoning (LSAT)
"Tue, Dec 17",Practice questions for logical reasoning (LSAT)
"Wed, Dec 18","Learn the fundamentals of ""reading comprehension"" for the LSAT"
"Wed, Dec 18",Learn the fundamentals of logical reasoning (LSAT)
"Wed, Dec 18",Practice questions for the reading comprehension section (LSAT)
"Thu, Dec 19",Learn the fundamentals of logical reasoning (LSAT)
"Thu, Dec 19",Practice questions for logical reasoning (LSAT)
"Thu, Dec 19","Learn the fundamentals of ""reading comprehension"" for the LSAT"
"Fri, Dec 20",Practice questions for the reading comprehension section (LSAT)
"Fri, Dec 20",Learn the fundamentals of logical reasoning (LSAT)
"Fri, Dec 20",Practice questions for logical reasoning (LSAT)
"Sat, Dec 21","Learn the fundamentals of ""reading comprehension"" for the LSAT"
"Sat, Dec 21",Learn the fundamentals of logical reasoning (LSAT)
"Sat, Dec 21",Practice questions for the reading comprehension section (LSAT)
"Sun, Dec 22",Learn the fundamentals of logical reasoning (LSAT)
"Sun, Dec 22",Practice questions for logical reasoning (LSAT)
"Sun, Dec 22","Learn the fundamentals of ""reading comprehension"" for the LSAT"
