day,taskname
"Sat, Dec 14",Review lecture slides
"Sat, Dec 14",Read research papers
"Sat, Dec 14",Prepare a presentation
"Sun, Dec 15",Brainstorm
"Sun, Dec 15",Read research papers
"Sun, Dec 15",Review lecture slides
"Mon, Dec 16",Write introduction
"Mon, Dec 16",Brainstorm
"Mon, Dec 16",Do laundry
"Tue, Dec 17",Read the book for book club
"Tue, Dec 17",Write introduction
"Tue, Dec 17",Write introduction
"Wed, Dec 18",Read the book for book club
"Wed, Dec 18",Read the book for book club
"Wed, Dec 18",Read research papers
"Thu, Dec 19",Write introduction
"Thu, Dec 19",Read the book for book club
"Thu, Dec 19",Do laundry
"Fri, Dec 20",Write introduction
"Fri, Dec 20",Prepare a presentation
"Fri, Dec 20",Do laundry
